package_item_no,tier,date,filename,document_type,Krankenkasse,fact_established,why_directly_relevant_to_police_request,source_path,duplicate_status,evidence_signature,confidence
61,TIER_3_AVAILABLE_ON_REQUEST,2025-02-03,"89878877, Antrag auf Ratenzahlung__copy3.eml",UNBEDENKLICHKEITSBESCHEINIGUNG,AOK,UNBEDENKLICHKEITSBESCHEINIGUNG,Material source row for requested police evidence category.,"00_INBOX - Входящи - Eingang/Accounting_Organized/01_Accountant_Emails/89878877, Antrag auf Ratenzahlung__copy3.eml",DUPLICATE_OR_COPY,"89878877, antrag auf ratenzahlung.eml",HIGH
62,TIER_3_AVAILABLE_ON_REQUEST,,BKK_Linde_Ratenzahlung.json,PAYMENT_PLAN_OR_STUNDUNG,AOK,PAYMENT_PLAN_OR_STUNDUNG,Material source row for requested police evidence category.,08_Reports - Доклади - Berichte/Accounting_Cash_Flow/recovered_health_insurance_text/BKK_Linde_Ratenzahlung.json,DUPLICATE_OR_COPY,bkk_linde_ratenzahlung.json,HIGH
63,TIER_3_AVAILABLE_ON_REQUEST,,Tabelle nach § 175 InsO mit Grund des Bestreitens.pdf,HEALTH_INSURANCE_EXTRACTED_ROW,AOK Plus,HEALTH_INSURANCE_EXTRACTED_ROW,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/Tabelle nach § 175 InsO mit Grund des Bestreitens.pdf,DUPLICATE_OR_COPY,tabelle nach § 175 inso mit grund des bestreitens.pdf,HIGH
64,TIER_2_SUPPORTING,,06-2021 #9109.pdf,HEALTH_INSURANCE_EXTRACTED_ROW,AOK Plus,HEALTH_INSURANCE_EXTRACTED_ROW,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/06-2021 #9109.pdf,UNIQUE,06-2021 #9109.pdf,HIGH
65,TIER_2_SUPPORTING,,07-2021 #9109.pdf,HEALTH_INSURANCE_EXTRACTED_ROW,AOK Plus,HEALTH_INSURANCE_EXTRACTED_ROW,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/07-2021 #9109.pdf,UNIQUE,07-2021 #9109.pdf,HIGH
66,TIER_2_SUPPORTING,,11-2021 #9109.pdf,HEALTH_INSURANCE_EXTRACTED_ROW,AOK Plus,HEALTH_INSURANCE_EXTRACTED_ROW,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/11-2021 #9109.pdf,UNIQUE,11-2021 #9109.pdf,HIGH
67,TIER_2_SUPPORTING,,06-2022 #9109.pdf,HEALTH_INSURANCE_EXTRACTED_ROW,AOK Plus,HEALTH_INSURANCE_EXTRACTED_ROW,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/06-2022 #9109.pdf,UNIQUE,06-2022 #9109.pdf,HIGH
68,TIER_2_SUPPORTING,,07-2022 #9109.pdf,HEALTH_INSURANCE_EXTRACTED_ROW,AOK Plus,HEALTH_INSURANCE_EXTRACTED_ROW,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/07-2022 #9109.pdf,UNIQUE,07-2022 #9109.pdf,HIGH
69,TIER_2_SUPPORTING,,10-2022 #9109.pdf,HEALTH_INSURANCE_EXTRACTED_ROW,AOK Plus,HEALTH_INSURANCE_EXTRACTED_ROW,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/10-2022 #9109.pdf,UNIQUE,10-2022 #9109.pdf,HIGH
70,TIER_2_SUPPORTING,,12-2022 #9109.pdf,HEALTH_INSURANCE_EXTRACTED_ROW,AOK Plus,HEALTH_INSURANCE_EXTRACTED_ROW,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/12-2022 #9109.pdf,UNIQUE,12-2022 #9109.pdf,HIGH
71,TIER_2_SUPPORTING,,10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2023.pdf,HEALTH_INSURANCE_EXTRACTED_ROW,AOK Plus,HEALTH_INSURANCE_EXTRACTED_ROW,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2023.pdf,UNIQUE,10. nachweis von lohnzahlungen - bankkontoumsätze 2023.pdf,HIGH
72,TIER_2_SUPPORTING,,02-2023 #9109.pdf,HEALTH_INSURANCE_EXTRACTED_ROW,AOK Plus,HEALTH_INSURANCE_EXTRACTED_ROW,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/02-2023 #9109.pdf,UNIQUE,02-2023 #9109.pdf,HIGH
73,TIER_3_AVAILABLE_ON_REQUEST,2023-10-30,90f3df27-1ca1-4b3a-9f1b-e33ffd37f10a.pdf,ARREARS_OR_ENFORCEMENT_NOTICE,AOK,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/accountings112023/90f3df27-1ca1-4b3a-9f1b-e33ffd37f10a.pdf,DUPLICATE_OR_COPY,90f3df27-1ca1-4b3a-9f1b-e33ffd37f10a.pdf,HIGH
74,TIER_3_AVAILABLE_ON_REQUEST,2023-10-30,90f3df27-1ca1-4b3a-9f1b-e33ffd37f10a.pdf,ARREARS_OR_ENFORCEMENT_NOTICE,AOK,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/01_Accountant_Emails/90f3df27-1ca1-4b3a-9f1b-e33ffd37f10a.pdf,DUPLICATE_OR_COPY,90f3df27-1ca1-4b3a-9f1b-e33ffd37f10a.pdf,HIGH
75,TIER_3_AVAILABLE_ON_REQUEST,2023-10-30,90f3df27-1ca1-4b3a-9f1b-e33ffd37f10a.pdf,ARREARS_OR_ENFORCEMENT_NOTICE,AOK,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/05_Taxes/90f3df27-1ca1-4b3a-9f1b-e33ffd37f10a.pdf,DUPLICATE_OR_COPY,90f3df27-1ca1-4b3a-9f1b-e33ffd37f10a.pdf,HIGH
76,TIER_3_AVAILABLE_ON_REQUEST,2023-10-30,90f3df27-1ca1-4b3a-9f1b-e33ffd37f10a__copy2.pdf,ARREARS_OR_ENFORCEMENT_NOTICE,AOK,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/05_Taxes/90f3df27-1ca1-4b3a-9f1b-e33ffd37f10a__copy2.pdf,DUPLICATE_OR_COPY,90f3df27-1ca1-4b3a-9f1b-e33ffd37f10a.pdf,HIGH
77,TIER_3_AVAILABLE_ON_REQUEST,2023-12-28,"39739 - Rechnung 231128_2023 vom 28.12.2023, Aufträge 31_23, 32_23, 33_23, 34_23, 50_23, 98_23, Mandant 42303.pdf",ARREARS_OR_ENFORCEMENT_NOTICE,AOK,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,"00_INBOX - Входящи - Eingang/Accounting/accountings112023/39739 - Rechnung 231128_2023 vom 28.12.2023, Aufträge 31_23, 32_23, 33_23, 34_23, 50_23, 98_23, Mandant 42303.pdf",DUPLICATE_OR_COPY,"39739 - rechnung 231128_2023 vom 28.12.2023, aufträge 31_23, 32_23, 33_23, 34_23, 50_23, 98_23, mandant 42303.pdf",MEDIUM
78,TIER_3_AVAILABLE_ON_REQUEST,2023-12-28,"39739 - Rechnung 231128_2023 vom 28.12.2023, Aufträge 31_23, 32_23, 33_23, 34_23, 50_23, 98_23, Mandant 42303.pdf",ARREARS_OR_ENFORCEMENT_NOTICE,AOK,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,"00_INBOX - Входящи - Eingang/Accounting_Organized/01_Accountant_Emails/39739 - Rechnung 231128_2023 vom 28.12.2023, Aufträge 31_23, 32_23, 33_23, 34_23, 50_23, 98_23, Mandant 42303.pdf",DUPLICATE_OR_COPY,"39739 - rechnung 231128_2023 vom 28.12.2023, aufträge 31_23, 32_23, 33_23, 34_23, 50_23, 98_23, mandant 42303.pdf",MEDIUM
79,TIER_3_AVAILABLE_ON_REQUEST,2023-12-28,"39739 - Rechnung 231128_2023 vom 28.12.2023, Aufträge 31_23, 32_23, 33_23, 34_23, 50_23, 98_23, Mandant 42303.pdf",ARREARS_OR_ENFORCEMENT_NOTICE,AOK,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,"00_INBOX - Входящи - Eingang/Accounting_Organized/08_Operating_Costs/39739 - Rechnung 231128_2023 vom 28.12.2023, Aufträge 31_23, 32_23, 33_23, 34_23, 50_23, 98_23, Mandant 42303.pdf",DUPLICATE_OR_COPY,"39739 - rechnung 231128_2023 vom 28.12.2023, aufträge 31_23, 32_23, 33_23, 34_23, 50_23, 98_23, mandant 42303.pdf",MEDIUM
80,TIER_3_AVAILABLE_ON_REQUEST,2023-12-28,"39739 - Rechnung 231128_2023 vom 28.12.2023, Aufträge 31_23, 32_23, 33_23, 34_23, 50_23, 98_23, Mandant 42303__copy2.pdf",ARREARS_OR_ENFORCEMENT_NOTICE,AOK,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,"00_INBOX - Входящи - Eingang/Accounting_Organized/08_Operating_Costs/39739 - Rechnung 231128_2023 vom 28.12.2023, Aufträge 31_23, 32_23, 33_23, 34_23, 50_23, 98_23, Mandant 42303__copy2.pdf",DUPLICATE_OR_COPY,"39739 - rechnung 231128_2023 vom 28.12.2023, aufträge 31_23, 32_23, 33_23, 34_23, 50_23, 98_23, mandant 42303.pdf",MEDIUM
81,TIER_3_AVAILABLE_ON_REQUEST,2024-01-11,10001_12-2023_DivAuswertungen_DivMitarbeiter_ZZ1.pdf,ARREARS_OR_ENFORCEMENT_NOTICE,AOK Hessen,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/10001_12-2023_DivAuswertungen_DivMitarbeiter_ZZ1.pdf,DUPLICATE_OR_COPY,10001_12-2023_divauswertungen_divmitarbeiter_zz1.pdf,MEDIUM
82,TIER_3_AVAILABLE_ON_REQUEST,2024-01-11,10001_12-2023_DivAuswertungen_DivMitarbeiter_ZZ1.pdf,ARREARS_OR_ENFORCEMENT_NOTICE,AOK Hessen,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/10001_12-2023_DivAuswertungen_DivMitarbeiter_ZZ1.pdf,DUPLICATE_OR_COPY,10001_12-2023_divauswertungen_divmitarbeiter_zz1.pdf,MEDIUM
83,TIER_3_AVAILABLE_ON_REQUEST,2024-01-11,10001_12-2023_DivAuswertungen_DivMitarbeiter_ZZ1__copy2.pdf,ARREARS_OR_ENFORCEMENT_NOTICE,AOK Hessen,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/10001_12-2023_DivAuswertungen_DivMitarbeiter_ZZ1__copy2.pdf,DUPLICATE_OR_COPY,10001_12-2023_divauswertungen_divmitarbeiter_zz1.pdf,MEDIUM
84,TIER_3_AVAILABLE_ON_REQUEST,2024-01-11,10001_12-2023_DivAuswertungen_DivMitarbeiter_ZZ1.pdf,ARREARS_OR_ENFORCEMENT_NOTICE,AOK Hessen,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/13_Unknown_To_Review/10001_12-2023_DivAuswertungen_DivMitarbeiter_ZZ1.pdf,DUPLICATE_OR_COPY,10001_12-2023_divauswertungen_divmitarbeiter_zz1.pdf,MEDIUM
85,TIER_3_AVAILABLE_ON_REQUEST,2024-01-12,10001_12-2023_Brutto_NettoProbe_00025_ZZ1.pdf,ARREARS_OR_ENFORCEMENT_NOTICE,AOK,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/10001_12-2023_Brutto_NettoProbe_00025_ZZ1.pdf,DUPLICATE_OR_COPY,10001_12-2023_brutto_nettoprobe_00025_zz1.pdf,MEDIUM
86,TIER_3_AVAILABLE_ON_REQUEST,2024-01-12,Pay Roll 12.2023.pdf,ARREARS_OR_ENFORCEMENT_NOTICE,AOK,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting/payroll12_2023/Pay Roll 12.2023.pdf,DUPLICATE_OR_COPY,pay roll 12.2023.pdf,MEDIUM
87,TIER_3_AVAILABLE_ON_REQUEST,2024-01-12,10001_12-2023_Brutto_NettoProbe_00025_ZZ1.pdf,ARREARS_OR_ENFORCEMENT_NOTICE,AOK,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/10001_12-2023_Brutto_NettoProbe_00025_ZZ1.pdf,DUPLICATE_OR_COPY,10001_12-2023_brutto_nettoprobe_00025_zz1.pdf,MEDIUM
88,TIER_3_AVAILABLE_ON_REQUEST,2024-01-12,10001_12-2023_Brutto_NettoProbe_00025_ZZ1__copy2.pdf,ARREARS_OR_ENFORCEMENT_NOTICE,AOK,ARREARS_OR_ENFORCEMENT_NOTICE,Material source row for requested police evidence category.,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/10001_12-2023_Brutto_NettoProbe_00025_ZZ1__copy2.pdf,DUPLICATE_OR_COPY,10001_12-2023_brutto_nettoprobe_00025_zz1.pdf,MEDIUM
